question_id,type_group,type_label,answer_type,question,ground_truth_doc,dense_top1_hit,dense_topk_hit,dense_hit_rate,dense_mrr,dense_top1_file,sparse_top1_hit,sparse_topk_hit,sparse_hit_rate,sparse_mrr,sparse_top1_file
Q01,TYPE 1,단일 문서 사실 추출 (12개),factual,국민연금공단이 발주한 2024년 이러닝시스템 운영 용역의 사업 예산은 얼마야?,국민연금공단_2024년 이러닝시스템 운영 용역.hwp,1,1,1.0,1.0,국민연금공단_2024년 이러닝시스템 운영 용역.hwp,1,1,1.0,1.0,국민연금공단_2024년 이러닝시스템 운영 용역.hwp
Q02,TYPE 1,단일 문서 사실 추출 (12개),factual,고려대학교 차세대 포털·학사 정보시스템 구축사업의 총 예산과 주요 구축 목적을 알려줘.,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,1,1,1.0,1.0,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,1,1,1.0,1.0,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf
Q03,TYPE 1,단일 문서 사실 추출 (12개),factual,기초과학연구원이 발주한 극저온시스템 운전 용역에서 요구하는 주요 업무 범위를 정리해줘.,기초과학연구원_2025년도 중이온가속기용 극저온시스템 운전 용역.pdf,1,1,1.0,1.0,기초과학연구원_2025년도 중이온가속기용 극저온시스템 운전 용역.pdf,1,1,1.0,1.0,기초과학연구원_2025년도 중이온가속기용 극저온시스템 운전 용역.pdf
Q04,TYPE 1,단일 문서 사실 추출 (12개),factual,한국원자력연구원 선량평가시스템 고도화 사업이 추진되는 목적이 뭐야?,한국원자력연구원_한국원자력연구원 선량평가시스템 고도화.hwp,1,1,1.0,1.0,한국원자력연구원_한국원자력연구원 선량평가시스템 고도화.hwp,1,1,1.0,1.0,한국원자력연구원_한국원자력연구원 선량평가시스템 고도화.hwp
Q05,TYPE 1,단일 문서 사실 추출 (12개),factual,한국가스공사 차세대 통합정보시스템(ERP) 구축 사업의 입찰 참여 마감일이 언제야?,한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,1,1,1.0,1.0,한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,1,1,1.0,1.0,한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp
Q06,TYPE 1,단일 문서 사실 추출 (12개),factual,서울특별시가 발주한 2024년 지도정보 플랫폼 고도화 용역에서 시스템 연계 대상으로 언급된 기관이나 시스템이 있어?,서울특별시_2024년 지도정보 플랫폼 및 전문활용 연계 시스템 고도화 용역.pdf,1,1,1.0,1.0,서울특별시_2024년 지도정보 플랫폼 및 전문활용 연계 시스템 고도화 용.pdf,1,1,1.0,1.0,서울특별시_2024년 지도정보 플랫폼 및 전문활용 연계 시스템 고도화 용.pdf
Q07,TYPE 1,단일 문서 사실 추출 (12개),factual,봉화군 재난통합관리시스템 고도화 사업에서 요구하는 납품 방식이나 계약 조건이 뭔지 알려줘.,경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급).hwp,1,1,1.0,1.0,경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급).hwp,1,1,1.0,1.0,경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급).hwp
Q08,TYPE 1,단일 문서 사실 추출 (12개),factual,인천광역시 도시계획위원회 통합관리시스템 구축용역의 사업 예산과 입찰 공개일을 알려줘.,인천광역시_도시계획위원회 통합관리시스템 구축용역.hwp,1,1,1.0,1.0,인천광역시_도시계획위원회 통합관리시스템 구축용역.hwp,1,1,1.0,1.0,인천광역시_도시계획위원회 통합관리시스템 구축용역.hwp
Q09,TYPE 1,단일 문서 사실 추출 (12개),factual,서민금융진흥원 채팅 상담시스템 구축 사업에서 AI 기반 요구사항이 있으면 정리해줘.,서민금융진흥원_서민금융진흥원 서민금융 채팅 상담시스템 구축.hwp,1,1,1.0,1.0,서민금융진흥원_서민금융진흥원 서민금융 채팅 상담시스템 구축.hwp,1,1,1.0,1.0,서민금융진흥원_서민금융진흥원 서민금융 채팅 상담시스템 구축.hwp
Q10,TYPE 1,단일 문서 사실 추출 (12개),factual,광주과학기술원 학사시스템 기능개선 사업의 예산과 입찰 마감일을 알려줘.,광주과학기술원_학사시스템 기능개선 사업.hwp,1,1,1.0,1.0,광주과학기술원_학사시스템 기능개선 사업.hwp,1,1,1.0,1.0,광주과학기술원_학사시스템 기능개선 사업.hwp
Q11,TYPE 1,단일 문서 사실 추출 (12개),factual,GKL 그랜드코리아레저 그룹웨어 시스템 구축 용역에서 요구하는 보안 관련 요구사항이 있나?,그랜드코리아레저(주)_2024년도 GKL 그룹웨어 시스템 구축 용역.hwp,1,1,1.0,1.0,그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp,1,1,1.0,1.0,그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp
